1,Aeródromo
2,Aeropuerto
3,Agencia De Autos
4,Antena
5,Antena De Telecomunicaciones
6,Anuncio
7,Anuncio Espectacular
8,Arrendadora De Autos
9,Banco
10,Bodega
11,Bodega Y Oficina
12,Cárcamo De Bombeo
13,Carretera
14,Centro Cultural
15,Cine
16,Comercio
17,Comercio Y Oficina
18,Concesionaria De Camiones
19,Condominio
20,Desconocido
21,Edificio
22,Escuela
23,Estacionamiento
24,Estación Meteorológica
25,Estructura Antígua
26,Estructura Deportiva
27,Estructura Metálica
28,Fábrica
29,Faro
30,Gasolinería
31,Gimnasio
32,Hospital
33,Hotel
34,Iglesia
35,Iglesia Antigua
36,Industria
37,Instalación Deportiva
38,Invernadero
39,Laboratorio
40,Letrero
41,Línea De Transmisión
42,Línea Eléctrica
43,Malecón
44,Misión Jesuita
45,Muelle
46,Multifamiliar
47,Nave Comercial
48,Nave Industrial
49,Oficina
50,Oficina Gubernamental
51,Oficina Privada
52,Oficina Y Escuela
53,Otro
54,Pista De Aterrizaje
55,Planta Desalinizadora
56,Planta Solar
57,Playa
58,Plaza Comercial
59,Poste
60,Poste De Transmisión
61,Pozo De Bombeo
62,Puente
63,Puerto
64,Restaurant
65,Restaurant - Bar
66,Tanque De Agua
67,Terminal Férrea
68,Tienda De Conveniencia
69,Tienda Departamental
70,Torre De Control
71,Torre De Transmisión
72,Unidad Habitacional
73,Vivienda
